display_id,parent_display_id,title,description,type,priority,status,source,author,created_at
1,,Авторизация и регистрация пользователей,Пользователь должен иметь возможность зарегистрироваться и войти в систему,бизнес,высокий,утверждено,заказчик,Комлев Артём Алексеевич,2026-05-12 15:34:17
2,,Каталог товаров,Система должна отображать каталог товаров с фильтрацией и поиском,функциональное,высокий,реализовано,заказчик,Иванова Мария Петровна,2026-05-12 15:34:17
3,,Корзина и оформление заказа,Пользователь должен иметь возможность добавлять товары в корзину и оформлять заказ,функциональное,высокий,на рассмотрении,заказчик,Комлев Артём Алексеевич,2026-05-12 15:34:17
4,,Система уведомлений,Отправка email-уведомлений при изменении статуса заказа,нефункциональное,средний,черновик,команда,Иванова Мария Петровна,2026-05-12 15:34:17
5,,Производительность системы,Система должна выдерживать нагрузку 1000 одновременных пользователей,нефункциональное,высокий,черновик,заказчик,Комлев Артём Алексеевич,2026-05-12 15:34:17
6,,Личный кабинет пользователя,Пользователь должен иметь доступ к истории заказов и настройкам профиля,пользовательское,средний,утверждено,заказчик,Комлев Артём Алексеевич,2026-05-12 15:34:17
7,,Платёжная система,"Интеграция с платёжными шлюзами (банковские карты, СБП)",бизнес,высокий,проверено,заказчик,Комлев Артём Алексеевич,2026-05-12 15:34:17
1.1,1,Регистрация через email,Форма регистрации с подтверждением email,функциональное,высокий,реализовано,заказчик,Иванова Мария Петровна,2026-05-12 15:34:17
1.2,1,Вход через социальные сети,OAuth2-авторизация через VK и Google,функциональное,средний,утверждено,заказчик,Иванова Мария Петровна,2026-05-12 15:34:17
3.1,3,Добавление товара в корзину,Кнопка добавления в корзину на карточке товара,функциональное,высокий,реализовано,команда,Комлев Артём Алексеевич,2026-05-12 15:34:17
3.2,3,Оформление заказа,Многошаговая форма оформления заказа с выбором адреса и способа доставки,функциональное,высокий,на рассмотрении,заказчик,Комлев Артём Алексеевич,2026-05-12 15:34:17
